filename,contrast_0,contrast_45,contrast_90,contrast_135,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,correlation_0,correlation_45,correlation_90,correlation_135,entropy_0,entropy_45,entropy_90,entropy_135,asm_0,asm_45,asm_90,asm_135
file_10,1069209384,1472387785,-807135697,-1193216825,205739100,183075167,209667885,168834087,23714.072917372047,23436.305744435056,19472.687622069505,21917.87431595938,8973,1673919,8935,1671323,0.9999999999999282,0.9999999999999256,0.9999999999999456,0.9999999999999539,-12679048.236630218,-10181907.259848481,-12625353.392877633,-10173054.435077038,8973,1673919,8935,1671323
file_12,-1944558605,-642191491,1993604530,-482265164,155951625,139855801,175994880,161522692,15288.1881586217,18429.59989574397,14109.268205111759,11060.554151387032,7085,1409022,7079,1410237,0.9999999999999172,0.9999999999999117,0.9999999999999187,0.9999999999999127,-10011262.315449135,-8449671.731376767,-10002784.182225043,-8455532.144254403,7085,1409022,7079,1410237
file_13,2095246765,-591043338,-2110646480,-593570086,176382735,160924304,154964520,140250254,14301.366348463465,11090.857968605858,16795.909052936742,18479.03319449154,7086,1406509,7061,1408074,0.9999999999999147,0.999999999999912,0.9999999999999329,0.9999999999999367,-10012675.33765315,-8443264.29448674,-9977349.782552766,-8444879.094377879,7086,1406509,7061,1408074
file_11,794746764,1534184349,-1933951372,-1778058688,204169320,182757799,204622710,166588682,23617.18313958,23878.800782700324,17754.90135876577,22661.591903796656,8948,1650574,8829,1653768,0.9999999999999692,0.999999999999957,0.999999999999951,0.9999999999999509,-12643722.681529833,-10123418.672237553,-12475573.039252,-10132411.355275448,8948,1650574,8829,1653768
file_9,-1377993997,-1831651214,753589509,1472288372,207104115,165946838,203507595,182709302,19189.644498392823,23490.125255308027,22910.33646938987,23070.237984382726,8890,1651863,8885,1650380,0.9999999999999497,0.9999999999999423,0.9999999999999148,0.9999999999999288,-12561767.39369694,-10117458.124408351,-12554702.282676863,-10113738.606847296,8890,1651863,8885,1650380
file_14,2073454465,-462495867,-2116924580,-666639785,176657625,162013199,155006340,139976753,13854.53292316411,11274.821791989949,16384.223262201784,17365.589918239228,7109,1414420,7067,1415358,0.9999999999998866,0.9999999999998934,0.9999999999999198,0.9999999999999191,-10045174.848345505,-8478380.353501631,-9985827.915776858,-8474375.806208564,7109,1414420,7067,1415358
file_17,-1217717057,-1225761789,696171417,-1500217251,66775575,63744539,86605905,61879821,11420.453791667842,6945.238330007247,9492.266610146906,11048.779403826064,3559,650646,3556,652526,0.9999999999998311,0.9999999999997249,0.9999999999996498,0.9999999999996778,-5028946.024090822,-3908287.5554718496,-5024706.957478776,-3920082.8145608804,3559,650646,3556,652526
file_16,-1137896192,-1177029033,1778385807,-1364861956,67795830,64175791,91096455,62519662,12379.454696469586,6818.201654487738,9153.49622284386,10543.053628415493,3634,674022,3628,670921,0.9999999999997077,0.9999999999995972,0.9999999999995783,0.9999999999997257,-5134922.689391977,-3936237.0691354643,-5126444.556167885,-3922727.0520238057,3634,674022,3628,670921
file_21,615467998,-2138397620,-449114927,1934510048,65855280,54349730,60386805,53185560,5611.351452559436,5273.8944912170555,9525.79416626158,7379.84654783716,2844,561640,2840,562619,0.9999999999994472,0.9999999999994027,0.9999999999994372,0.9999999999994846,-4018635.1482198085,-3206908.3731325404,-4012983.059403747,-3209111.6305481903,2844,561640,2840,562619
file_23,-155031842,1963679554,602540518,-1994081453,62016000,53485070,66056220,55305259,9069.287899936258,7760.113019389963,5733.964909844861,5084.039115836119,2872,562701,2871,562453,0.9999999999995871,0.9999999999995429,0.9999999999994628,0.9999999999994055,-4058199.76993224,-3236763.9033028604,-4056786.7477282244,-3238046.843081016,2872,562701,2871,562453
file_20,1935880183,46383745,-1548721847,-1369907517,84031935,74687007,64679475,66134219,5947.38057536463,8844.61264225528,14328.993456165861,11049.55664813559,3665,776232,3661,776340,0.9999999999997108,0.9999999999997595,0.9999999999998258,0.9999999999998065,-5178726.377716455,-4470809.621149626,-5173074.288900393,-4472363.322318277,3665,776232,3661,776340
file_19,1972123333,-39875466,-1537375877,-1282514961,84295095,74316908,64856955,66589427,6760.975165965235,8327.529030610538,14970.660591679021,10690.70836377091,3681,783002,3676,783104,0.999999999999722,0.9999999999997329,0.999999999999787,0.9999999999997704,-5201334.732980701,-4482466.0145080425,-5194269.621960624,-4480691.300216992,3681,783002,3676,783104
file_22,-506374922,1904383269,741938818,2080779177,60185610,52945751,66221460,53982497,9753.720752565998,7137.319193643695,5459.861634947784,5123.770142811256,2839,549507,2839,549374,0.9999999999994299,0.9999999999994634,0.9999999999994927,0.9999999999995457,-4011570.0371997315,-3190099.767876004,-4011570.0371997315,-3187655.935090349,2839,549507,2839,549374
file_18,-1554657737,-1376391662,1924657123,-86821852,64473435,65824074,83688195,73809164,14544.436481923682,10754.535394700002,6718.31388223187,8221.980660295429,3643,772944,3643,773673,0.9999999999998326,0.9999999999997949,0.9999999999997108,0.9999999999997293,-5147639.889228116,-4433402.033106527,-5147639.889228116,-4433289.501674635,3643,772944,3643,773673
file_26,1695044667,-95655633,-1007961964,129996625,121010505,113809621,129990330,114856689,18680.096464066584,19739.000457267244,16947.882617895903,13620.373490603999,6032,1187857,6005,1184924,0.9999999999999033,0.9999999999999094,0.9999999999999022,0.999999999999911,-8523349.934620915,-7174381.53152585,-8485198.3351125,-7158605.676056116,6032,1187857,6005,1184924
file_27,1573765900,719830966,-23873871,-175269575,159062880,134992878,172518465,129799879,16888.888823602276,11643.234632853275,13424.967415463298,13741.892396762261,6367,1118269,6345,1115746,0.999999999999841,0.9999999999998109,0.9999999999998533,0.999999999999871,-8996712.372966075,-6847260.841285457,-8965625.884477736,-6833001.69390972,6367,1118269,6345,1115746
file_24,-1157192044,84594082,1643356422,-207496665,129326310,114374426,120311040,113066047,17602.492908106087,13716.52927640476,17942.307473782053,19364.234240953887,5994,1187096,5991,1188245,0.9999999999999067,0.9999999999999083,0.9999999999999141,0.9999999999999047,-8469655.09086833,-7141417.4942279495,-8465416.024256283,-7142854.760847373,5994,1187096,5991,1188245
file_25,1628174232,-245508688,-1189318729,239218207,120265140,112968680,129239865,115413033,18195.910013747627,20260.94535033389,17750.33788638682,13462.871541764334,6002,1194960,5997,1199249,0.999999999999919,0.9999999999999079,0.9999999999998966,0.9999999999999006,-8480959.268500453,-7146265.4104011115,-8473894.157480376,-7164299.676207951,6002,1194960,5997,1199249
file_29,202808379,-413835552,1457677660,674823084,173394135,128827800,158205570,134451832,14623.935848724137,13878.412878859814,16573.594110245056,12382.629180650647,6381,1116759,6339,1117084,0.9999999999998794,0.9999999999998512,0.9999999999998462,0.9999999999998084,-9016494.683822291,-6810205.631719369,-8957147.751253644,-6819482.456398636,6381,1116759,6339,1117084
file_30,-64404335,-1075532432,-777120153,327269764,124808475,62612990,86583975,91365154,9604.634166039044,5847.204340920997,17072.61152525144,638.4302352753532,3773,648683,3738,647589,0.9999999999992608,0.9999999999997702,0.9999999999997774,0.9999999999995256,-5331332.775750118,-3750234.163922978,-5281876.998609579,-3750272.831455169,3773,648683,3738,647589
file_28,12598269,-306702548,1448695540,614420988,173138625,129368442,158475870,134399170,13614.476472910777,13715.540755322088,16540.039095112243,11976.852341259779,6381,1116167,6362,1113987,0.9999999999998604,0.9999999999998722,0.999999999999915,0.9999999999998773,-9016494.683822291,-6854405.0733254915,-8989647.261945998,-6844027.554324532,6381,1116167,6362,1113987
file_31,-848937588,289556994,-508206845,-1323898288,85867170,90908368,122403315,61342708,17031.28018909755,635.0607694370817,9579.485128775994,6379.863892873791,3716,637919,3703,639373,0.9999999999997722,0.9999999999995083,0.9999999999996172,0.9999999999996767,-5250790.51012124,-3702258.530559124,-5232421.22146904,-3704481.8041003705,3716,637919,3703,639373
file_33,-1072648836,520766298,-756297619,1830897180,146570430,98466244,109774185,82913250,4230.401658111569,5418.008761132885,15694.167458926546,9427.452581988198,4793,762114,4762,760387,0.9999999999997533,0.9999999999997765,0.9999999999998734,0.999999999999831,-6772615.42384583,-4614124.615475626,-6728811.735521353,-4611153.968624842,4793,762114,4762,760387
file_32,-402631488,503636430,-343962875,-1114363120,88700220,92425754,123888945,62562204,16697.4810366343,623.27082365579,9900.9837622043,6111.486876120877,3800,649035,3772,648801,0.9999999999997407,0.9999999999990252,0.999999999999266,0.9999999999997673,-5369484.375258534,-3786759.201440826,-5329919.753546103,-3786926.8316433346,3800,649035,3772,648801
file_38,-1341154656,2138336559,2065885044,-731421466,188693880,156675455,201518850,166558346,19576.27769256655,22043.635848237423,13375.227381337087,19985.010568750815,8412,1622359,8312,1621796,0.9999999999999369,0.9999999999999533,0.9999999999999517,0.9999999999999444,-11886342.780177576,-9529678.782742137,-11745040.559776036,-9517796.900687085,8412,1622359,8312,1621796
file_36,1983861489,-929589002,-2049822351,1831342429,200893845,165092456,184529475,155110243,12970.226985031206,20805.910724511345,19762.539948298403,23032.32893266928,8291,1630392,8265,1631638,0.9999999999999528,0.9999999999999502,0.9999999999999535,0.9999999999999577,-11715367.093491713,-9456351.24169657,-11678628.516187312,-9461598.397322204,8291,1630392,8265,1631638
file_34,-384978094,1937203616,-1224033666,467531748,111751710,83486792,146120610,98948738,15938.233739533985,10178.991192966136,4517.8811505263475,5427.5253066802925,4819,761841,4819,765073,0.9999999999998692,0.9999999999998302,0.9999999999997353,0.9999999999995416,-6809354.001150231,-4646540.03247066,-6809354.001150231,-4670454.686409095,4819,761841,4819,765073
file_35,-299890714,-2056370312,-1132652376,486732902,112371360,84957160,146243520,98589244,16877.382143174913,8211.287748831117,4148.907760150809,5603.648254739358,4859,766984,4779,764508,0.9999999999996613,0.9999999999996578,0.9999999999997524,0.9999999999997757,-6865874.889310847,-4665861.029421447,-6752833.112989615,-4642309.558650428,4859,766984,4779,764508
file_37,-1870864626,1942145126,1679585544,-984576743,185311050,155503898,199503840,164840883,19445.190086783543,22396.94140481965,12867.443677346007,20529.488856989155,8256,1628451,8253,1630884,0.9999999999999599,0.999999999999954,0.9999999999999191,0.9999999999999087,-11665911.316351173,-9431619.357097069,-11661672.249739127,-9443829.626422888,8256,1628451,8253,1630884
file_39,-1629032065,-1228720974,1689760551,-279949353,284764875,199173048,273200115,248646155,27508.59485119968,26100.384478959975,29224.01221816959,15671.460381996898,10878,2024290,10817,2020497,0.9999999999999495,0.9999999999999526,0.9999999999999765,0.9999999999999609,-15370855.535279563,-11717713.970930053,-15284661.180834623,-11707523.547347035,10878,2024290,10817,2020497
file_40,1963752186,-203258659,-1675929370,-1371292718,274924680,248924517,283804800,198586650,29131.46139742493,15500.380131632508,27786.392215077572,27594.339746087946,10880,2019172,10837,2020623,0.9999999999999555,0.9999999999999521,0.9999999999999512,0.9999999999999637,-15373681.579687594,-11701657.592385855,-15312921.624914931,-11714854.352586815,10880,2019172,10837,2020623
file_41,-1941097750,686274620,-1739038045,-1127718712,277650630,253438810,284141145,200552242,29616.328519804305,15158.961525550456,27340.74242578574,26918.30078550999,10967,2015853,10854,2014024,0.9999999999999624,0.9999999999999405,0.9999999999999525,0.9999999999999716,-15496614.511436934,-11854517.509652449,-15336943.002383193,-11840464.109664585,10967,2015853,10854,2014024
file_42,-1059278933,265041856,-1454787502,925499692,227281245,144658682,207142110,192636750,16878.294975389053,25770.66667966365,19916.495009221304,15390.922280625155,8591,1567472,8555,1563363,0.9999999999999559,0.99999999999995,0.9999999999999446,0.9999999999999338,-12139273.754696334,-9306700.1366037,-12088404.95535178,-9282979.32405805,8591,1567472,8555,1563363
file_43,-1273855567,1236813099,-1407487808,219107652,208226625,194446789,225598500,145104878,19854.502445183487,14982.158198907186,15603.773723525303,23818.346984704887,8581,1566141,8563,1571120,0.9999999999999507,0.9999999999999328,0.9999999999999446,0.9999999999999538,-12125143.53265618,-9323909.689850612,-12099709.132983902,-9351425.566797297,8581,1566141,8563,1571120
file_44,-1425072352,1534397709,-1045721093,283238341,208714440,196303567,227662725,145096983,20367.659083445313,14812.966044072715,16856.366843403375,26170.194120202646,8645,1588280,8602,1584230,0.9999999999999262,0.9999999999998724,0.9999999999999268,0.9999999999999579,-12215576.953713166,-9413262.987202717,-12154816.998940503,-9376521.841511527,8645,1588280,8602,1584230
file_46,40861193,-146526276,-217741193,2135861918,212854365,194525138,228178845,162086262,28991.371128269566,12064.630479311156,29020.636780143064,26658.132422143735,9135,1658450,9116,1660852,0.9999999999999499,0.9999999999999275,0.999999999999947,0.9999999999999384,-12907957.833680714,-9788566.70457289,-12881110.41180442,-9790251.452188084,9135,1658450,9116,1660852
file_45,391493587,-1913648481,93775478,114132829,231547905,164274455,213797100,196613005,29271.705469572724,25356.081354302347,29083.591552486407,11664.825149395601,9225,1694847,9203,1692420,0.9999999999999418,0.9999999999999456,0.9999999999999524,0.9999999999999251,-13035129.8320421,-9901233.394755874,-13004043.343553761,-9881243.346207328,9225,1694847,9203,1692420
file_47,223658963,28098031,112767112,-2019609810,214551135,196221541,230084970,163633046,28664.41183261009,12029.576234972026,28202.37517872805,24980.829551014194,9222,1701898,9194,1700196,0.9999999999999442,0.9999999999999154,0.9999999999999347,0.9999999999999424,-13030890.765430054,-9873872.60276999,-12991326.143717622,-9868393.000734111,9222,1701898,9194,1700196
