filename,contrast_0,contrast_45,contrast_90,contrast_135,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,correlation_0,correlation_45,correlation_90,correlation_135,entropy_0,entropy_45,entropy_90,entropy_135,asm_0,asm_45,asm_90,asm_135
file_5,148640409674.9452,93310425170.46687,134693118121.04172,90141896056.39047,962091238.5307288,717302945.7432418,905659634.5660377,716346685.0928016,93604.89286645435,78551.97014750067,99659.04620859481,62897.59489170866,1190241000.0,974646000.0,1190241000.0,974728300.0,1.0000000000000056,1.000000000000004,0.9999999999999991,1.0000000000000042,-44592066.11235369,-36575892.99868986,-44592066.11235239,-36584327.70865755,1190241000.0,974646000.0,1190241000.0,974728300.0
file_4,148901343191.1154,93947477694.81703,133832205728.22607,89673563461.33662,963581346.4439559,720034752.6816239,901588811.2194571,714494355.1563735,93623.74413433216,78445.62461061061,99537.16492920308,63202.87388578237,1191733000.0,975707970.0,1187267200.0,975596200.0,0.9999999999999809,1.0000000000000049,1.0000000000000118,0.9999999999999918,-44642196.28621755,-36609905.45189172,-44468115.62302282,-36600271.22233375,1191733000.0,975707970.0,1187267200.0,975596200.0
file_6,163330873685.8688,110232561592.14343,142360893594.1831,109500691632.27861,1117583751.2463536,882208543.1354012,1029251414.2829772,878774956.220264,115226.86619537721,93732.13423208236,124184.39252979528,91775.84460483736,1600105100.0,1420777300.0,1596412900.0,1418978600.0,1.000000000000004,0.9999999999999949,0.9999999999999949,0.9999999999999978,-55652867.634967014,-48722438.023207456,-55505115.05434917,-48668357.46644371,1600105100.0,1420777300.0,1596412900.0,1418978600.0
file_3,135762156460.1213,90182685217.53821,148901343191.1154,93970235720.37376,911044540.5928245,717022505.2921176,963581346.4439559,720430002.1906004,99897.15562873104,63202.55131065559,93623.74413433216,78553.42363320458,1194720000.0,976628000.0,1191733000.0,976447500.0,0.9999999999999877,1.0000000000000022,0.9999999999999809,0.9999999999999954,-44766692.511688694,-36658645.52868579,-44642196.28621755,-36647665.3474924,1194720000.0,976628000.0,1191733000.0,976447500.0
file_7,142360893594.1831,109460113947.93694,161533161405.54202,109184879941.69215,1029251414.2829772,878070610.5598896,1108044650.3675199,876473314.3938882,124184.39252979528,91535.49857406835,114980.95159759802,93730.1427655654,1596412900.0,1416944100.0,1591967200.0,1415137800.0,0.9999999999999949,1.0000000000000024,1.000000000000005,0.9999999999999927,-55505115.05434917,-48592113.95522375,-55339585.32334224,-48547711.15732382,1596412900.0,1416944100.0,1591967200.0,1415137800.0
file_2,128630796091.84628,79816944241.72156,115479059224.43616,92540509143.34232,867190178.4773684,649779518.9494085,821794225.5899668,721611988.8116324,89592.98635158691,70515.5223119255,100337.46015386228,56971.515173050466,1021043700.0,899934200.0,1021043700.0,900759100.0,0.9999999999999968,0.9999999999999817,0.9999999999999886,0.999999999999986,-41030414.393211804,-35587823.192007855,-41030414.39321288,-35616779.14785642,1021043700.0,899934200.0,1021043700.0,900759100.0
file_1,128789218673.11089,80476037619.9944,115016865380.31857,91917580051.12343,868141193.4670076,652691409.2739906,819114398.3821192,718777683.3684638,89643.34022227685,70197.29770250649,100268.40938029022,57148.584538104915,1022405400.0,900946900.0,1019366100.0,900091800.0,0.9999999999999929,0.9999999999999893,0.9999999999999744,1.0000000000000018,-41079118.84374004,-35618962.82688684,-40941548.78038498,-35588735.91037468,1022405400.0,900946900.0,1019366100.0,900091800.0
file_0,116364784960.86914,92579690524.07439,128789218673.11089,80502643710.37595,826308765.4909563,722257076.266742,868141193.4670076,653153599.2153053,100470.8906878905,57150.034685597195,89643.34022227685,70516.5824964833,1024086850.0,902269500.0,1022405400.0,902026300.0,0.9999999999999871,0.9999999999999991,0.9999999999999929,0.9999999999999921,-41168237.99748346,-35682040.84728612,-41079118.84374004,-35670270.505649716,1024086850.0,902269500.0,1022405400.0,902026300.0
file_8,142275744963.4706,108784164163.64551,162383639572.69083,110187111696.36711,1028794296.6780311,875514892.6921031,1112566296.4789357,881438192.3940945,124245.21389308796,91775.39907733811,115054.75718598538,93400.55268786209,1595653900.0,1416671600.0,1595653800.0,1418406100.0,1.0000000000000082,0.9999999999999951,0.9999999999999905,0.9999999999999992,-55487011.19767672,-48596437.88714199,-55487011.19767712,-48638507.85035712,1595653900.0,1416671600.0,1595653800.0,1418406100.0
file_10,135039852130.99767,103798633840.19705,168899787233.9599,95527855692.86365,954547625.9794836,802360754.6387761,1079259646.816762,766320612.9845991,125345.82023929081,77952.88977172051,93044.60194172365,81676.36700767036,1361864300.0,1114344600.0,1357649900.0,1115826600.0,0.9999999999999997,0.9999999999999999,0.999999999999993,0.9999999999999843,-49981416.31624841,-41364878.612775,-49820512.783675924,-41392252.45387526,1361864300.0,1114344600.0,1357649900.0,1115826600.0
file_11,134884855432.34488,103332605983.2238,169900907232.3595,95718663891.43208,953502732.9215746,800495931.3615375,1083718765.5582533,766565586.7879815,125302.38739882136,78093.08853115122,93121.63822705475,81411.719904348,1360684400.0,1114656500.0,1360684300.0,1113161900.0,0.9999999999999893,0.9999999999999861,0.9999999999999988,0.9999999999999886,-49941822.781424336,-41354237.804887705,-49941822.781423815,-41326001.487611026,1360684400.0,1114656500.0,1360684300.0,1113161900.0
file_9,171100607184.95657,95755557773.86816,135039852130.99767,103819619840.67741,1089368054.8761358,767200374.6222854,954547625.9794836,802701739.8473077,93282.74288719472,81677.39596681968,125345.82023929081,78093.48304973004,1364904700.0,1114836000.0,1361864300.0,1114878200.0,0.9999999999999896,1.0000000000000042,0.9999999999999997,0.9999999999999906,-50103058.901478454,-41395132.61944436,-49981416.31624841,-41396070.917244166,1364904700.0,1114836000.0,1361864300.0,1114878200.0
file_12,95462130912.80844,72191980644.42438,107690396234.27301,76021147083.79364,687626272.7002437,575450395.6188123,742892706.7585227,594220283.9657221,78137.16602692586,60311.0065671237,65455.44020661077,52876.794787081286,777160800.0,698118660.0,775795500.0,698327200.0,1.0000000000000064,0.9999999999999766,0.9999999999999982,0.9999999999999902,-33612637.53393777,-29596949.596318394,-33533581.165065486,-29600687.00621056,777160800.0,698118660.0,775795500.0,698327200.0
file_13,107690396234.27301,75998652418.83809,94491401389.21167,71804423453.20012,742892706.7585227,593802953.2116013,682143434.3702762,573838058.6481922,65455.44020661077,52731.47974043048,77925.04989252632,60310.30304939617,775795500.0,697451500.0,773748860.0,697999740.0,0.9999999999999982,0.9999999999999765,0.9999999999999815,1.000000000000007,-33533581.165065486,-29556389.407194044,-33436315.13843899,-29575031.20791085,775795500.0,697451500.0,773748860.0,697999740.0
file_16,82376282427.50305,60760900992.13008,87890086144.68935,54888240269.99421,568438968.6723777,472974603.3374511,580428429.6659346,442957831.3704082,61004.44903689682,36936.22647191021,62185.251053771426,51238.76451426954,543485060.0,457313820.0,541282300.0,456531300.0,0.9999999999999827,0.9999999999999798,0.9999999999999838,1.0000000000000047,-26226486.464670926,-22092293.192928016,-26121737.361175597,-22065579.059458256,543485060.0,457313820.0,541282300.0,456531300.0
